book,door,section,subject_number,subject_name,description
4,1,null,467,مخالفة أوامر السلطة,كل من خالف أمراً مشروعاً أصدرته السلطة حفظاً للعدالة أو السلامة العامة أو النظام أو الصحة يعاقب بالحبس مدة لا تجاوز شهراً أو بغرامة لا تزيد على خمسة جنيهات.
4,1,null,468,رفض التصريح بالهوية,كل من رفض التصريح بهويته أو بأحواله الشخصية أو أي وصف شخصي آخر عندما يطلب إليه ذلك موظف عمومي أثناء القيام بمهامه يعاقب بالحبس مدة لا تزيد على شهر أو بغرامة لا تجاوز خمسة جنيهات.
4,1,null,469,رفض تقديم المساعدة عند حدوث اضطراب,كل من رفض دون عذر مشروع بذل المساعدة أو القيام بما يطلبه منه موظف عمومي أثناء قيامه بمهامه عند وقوع اضطراب أو أي كارثة أخرى أو عند التلبس بجريمة أو امتنع عن تقديم المعلومات أو البيانات المطلوبة منه في الأحوال المذكورة يعاقب بالحبس مدة لا تزيد على شهرين أو بغرامة لا تزيد على عشرة جنيهات. وإذا كانت البيانات أو المعلومات كاذبة كانت العقوبة الحبس ما بين شهر وثلاثة أشهر أو الغرامة التي لا تجاوز عشرين جنيهاً.
4,1,null,470,الصياح والتظاهر إثارة للفتنة,كل من قام في محل عام أو مكان آخر معروض أو مفتوح للجمهور بتظاهر أو صياح لإثارة الفتنة يعاقب بالحبس مدة لا تزيد على ستة أشهر، ما لم يترتب على الفعل جريمة أخطر.
4,1,null,471,مضايقة الناس بالضجيج وإقلاق راحتهم,كل من حصل منه لغط أو ضجيج أو أساء استعمال أية وسيلة من وسائل نقل الصوت أو تكبيره أو حرض الحيوانات على إحداث ضجيج وكان من شأن ذلك مضايقة الناس في أعمالهم أو إقلاق راحتهم أو التشويش على الحفلات أو المحلات العامة أو منشآت الترفيه يعاقب بالحبس مدة لا تجاوز الشهر أو بغرامة لا تزيد على عشرة جنيهات. وتطبق العقوبة ذاتها على كل من أعلن بالصياح عن أخبار من شأنها إقلاق الراحة العامة أو الخاصة واقترن الإعلان أو الصياح بترويج أو توزيع محررات أو رسوم في محل عام أو مفتوح أو معروض للجمهور.
4,1,null,472,مضايقة الناس أو إقلاقهم,كل من تسبب في مضايقة الغير أو إقلاقهم في محل عام أو مفتوح أو معروض للجمهور أو ضايقهم أو أقلقهم باستعمال التليفون أو استعمله لأي سبب ذميم آخر يعاقب بالحبس مدة لا تجاوز ستة أشهر أو بغرامة لا تجاوز عشرين جنيهاً.
4,1,null,473,اتلاف الإعلانات الملصقة,كل من مزق إعلانات أو رسوماً ملصقة أو معلقة بتخويل من السلطات المختصة أو جعلها بأية طريقة غير مقروءة أو غير صالحة يعاقب بالغرامة التي لا تجاوز عشرة جنيهات.
4,1,null,474,الباعة المتجولون,كل من زاول حرفة البائع المتجول دون ترخيص من السلطات المختصة أو لم يراع الشروط التي يقررها القانون في مزاولة تلك الحرفة يعاقب بالحبس مدة لا تجاوز الشهر أو بغرامة لا تجاوز عشرة جنيهات. وتطبق العقوبة ذاتها على الوالد أو الوصي الذي يستغل قاصراً دون الثامنة عشرة من غير أن يكون لدى القاصر ترخيص لمزاولة تلك الحرفة أو إذا لم يراع الشروط التي يقررها القانون لمزاولتها.
4,1,null,475,التسول,كل من تسول في محل عام أو مفتوح للجمهور بطريقة منفرة أو مزرية أو باختلاق مرض أو عاهة أو باستعمال الشعوذة يعاقب بالحبس مدة لا تزيد على ستة أشهر.
4,1,null,476,رفض قبول العملة المتداولة قانوناً,كل من رفض قبول نقد متداول قانوناً في الجمهورية بقيمته القانونية يعاقب بغرامة لا تجاوز عشرة جنيهات.
4,2,null,477,صنع الأسلحة أو الاتجار بها دون ترخيص,كل من صنع أسلحة أو جلبها إلى ليبيا أو صدرها منها أو عرضها بأية طريقة للبيع أو حملها للتجارة أو الصناعة وكان ذلك دون ترخيص يعاقب بالحبس مدة لا تجاوز ستة أشهر أو بغرامة لا تجاوز عشرين جنيهاً.
4,2,null,478,حيازة الأسلحة خرقاً للقانون,كل من كانت في حيازته أسلحة أو ذخيرة ولم يبلغ السلطات عنها يعاقب بالحبس مدة لا تجاوز سنة والغرامة التي لا تزيد على عشرين جنيهاً.
4,2,null,479,الامتناع عن تسليم الأسلحة,للسلطات المختصة أن تصدر أمراً بتسليم الأسلحة والذخيرة التي في حيازة الأشخاص أو تسليم نوع أو أنواع منها خلال مدة معينة. ويعفى من العقاب بموجب المواد 477 و 478 و 480 من قانون العقوبات كل من قام بتسليم مالديه من الأسلحة أو الذخائر إلى مقر البوليس الذي يتبعه محل إقامته في خلال المدة المعينة لذلك. وكل من خالف الأمر المذكور يعاقب بالحبس مدة لا تقل عن سنة ولا تزيد على ثلاث سنوات وبغرامة لا تقل عن عشرين جنيهاً ولا تزيد على مائة جنيه فضلاً عن مصادرة السلاح أو الذخيرة المضبوطة.
4,2,null,480,حمل الأسلحة دون ترخيص,كل من حمل سلاحاً خارج مسكنه أو ملحقاته دون ترخيص من السلطات يعاقب بالحبس مدة لا تجاوز السنتين وغرامة لا تجاوز خمسين جنيهاً. وتكون العقوبة الحبس وغرامة لا تجاوز مائة جنيه إذا ارتكب الفعل في مجتمع أو محفل أو إذا ارتكب ليلاً في حي مأهول.
4,2,null,481,تدابير وقائية,في الأحوال المنصوص عليها في المواد السابقة يجوز إخضاع المحكوم عليه لأحد التدابير الوقائيــة.
4,2,null,482,إهمال حراسة الأسلحة,يعاقب بغرامة لا تزيد على عشرة جنيهات كل من صدر منه فعل من الأفعال الآتية وإن كان مرخصاً له في حمل السلاح :- 1 – تسليم السلاح لصغير دون الرابعة عشرة أو لشخص غير مرخص له بحمل السلاح أو ترك أحد هؤلاء يحمله. 2 – قصر في حراسة الأسلحة للحيلولة دون أن يحصل عليها بسهولة أحد الأشخاص المذكورين في البند السابق. 3 – حمل بندقية معبأة في مجتمع أو محفل.
4,2,null,483,الألعاب النارية,كل من أطلق عيارات نارية أو أشعل ألعاباً نارية أو ألقى صواريخ أو أحدث لهيباً أو انفجارات في حي مأهول أو في أماكن مجاورة له أو في طريق عام أو في اتجاهها دون ترخيص من السلطات يعاقب بغرامة لا تجاوز عشرة جنيهات. وإذا ارتكب الفعل في مجتمع أو محفل كانت العقوبة الحبس الذي لا تزيد مدته على شهـر.
4,2,null,484,تعريف الأسلحة,يقصد بعبارة أسلحة في الأحكام السابقة ما يلي: 1 – الأسلحة النارية وسائر الأدوات التي أعدت بطبيعتها لإيذاء الأشخاص. 2 – القنابل وكل جهاز أو أداة بها مواد متفجرة والمواد المتفجرة نفسها والغازات الخانقة أو المعمية او المؤذية على أي وجه.
4,2,null,485,التقصير في وضع العلامات أو الحواجز أو إزالتها,كل من قصر في وضع العلامات أو الحواجز التي تلزم القوانين أو اللوائح بوضعها في الممرات العامة لمنع الأخطار عن الناس أو أزال تلك العلامات أو الحواجز أو أطفأ مصابيح التنبيه إلى الخطر يعاقب بالحبس مدة لا تزيد على شهر أو بغرامة لا تزيد على عشرة جنيهات. وتكون العقوبة الحبس مدة لا تزيد على شهرين أو غرامة لا تزيد على عشرين جنيهاً إذا كانت العلامات أو الحواجز المذكورة قد وضعت بمعرفة جهة عامة أو كانت المصابيح معدة للإنارة العامة.
4,2,null,486,القذف الخطر للأشياء,كل من قذف أو ألقى أو صب أشياء من شأنها إيذاء الأشخاص أو تلطيخهم أو مضايقتهم في ممر عام أو محل خاص مستعمل استعمالاً مشتركاً أو خاصاً أو تسبب في الأحوال التي لا يسمح بها القانون في تسرب الغازات أو الأبخرة أو الأدخنة التي من شأنها إحداث الآثار المذكورة يعاقب بالحبس مدة لا تجاوز شهراً أو بغرامة لا تزيد على خمسة جنيهات.
4,2,null,487,وضع الأشياء بصورة خطرة,كل من وضع أو علق دون أخذ الحيطة اللازمة أشياء لو وقعت في ممر عام أو محل خاص مستعمل استعمالاً مشتركاً أو خاصاً لاحدثت أذى أو تلطيخاً أو مضايقة للأشخاص يعاقب بغرامة لا تزيد على خمسة جنيهات.
